Time,Temperature,Pressure,Time,Temperature,Pressure
386,69.6685516402,117.491857677,,,
387,69.7601244804,117.807470465,,,
388,69.7601244804,117.618102792,,,
389,69.8490427835,117.554980235,,,
390,69.8490427835,117.554980235,,,
391,69.8950162207,117.554980235,,,
392,69.9410444095,117.365612562,,,
393,69.9871275048,117.554980235,,,
394,70.0794590376,117.618102792,,,
395,70.1257077879,117.992892977,,,
396,70.218372043,117.618102792,,,
397,70.2647878644,117.365612562,,,
398,70.3083535606,117.618102792,,,
399,70.3083535606,117.554980235,,,
400,70.4014588433,117.554980235,,,
401,70.4947900448,117.68122535,,,
402,70.4947900448,117.744347907,,,
403,70.588348462,118.119138092,,,
404,70.6352132846,118.43475088,,,
405,70.820302046,117.992892977,,,
406,70.867451374,117.68122535,,,
407,70.9619245483,117.491857677,,,
408,71.0092487323,117.554980235,,,
409,71.0092487323,117.807470465,,,
410,71.0092487323,117.807470465,,,
411,71.104073143,117.870593022,,,
412,71.1515737113,118.056015535,,,
413,71.2437745044,117.870593022,,,
414,71.2437745044,118.119138092,,,
415,71.2914492816,117.807470465,,,
416,71.3391837055,117.618102792,,,
417,71.386977951,117.618102792,,,
418,71.386977951,117.554980235,,,
419,71.4348321935,116.990822377,,,
420,71.4348321935,117.302490005,,,
421,71.4827466091,117.992892977,,,
422,71.5307213747,117.42873512,,,
423,71.578756668,117.365612562,,,
424,71.6268526674,117.554980235,,,
425,71.6750095519,117.93371558,,,
426,71.7202120873,117.744347907,,,
427,71.7684874494,117.554980235,,,
428,71.8168242272,117.744347907,,,
429,71.8168242272,117.618102792,,,
430,71.8652226028,117.870593022,,,
431,71.9622048796,118.056015535,,,
432,72.0107891488,117.68122535,,,
433,72.0107891488,117.554980235,,,
434,72.0594357518,117.365612562,,,
435,72.0594357518,117.243312607,,,
436,72.1081448747,117.18019005,,,
437,72.1081448747,117.365612562,,,
438,72.1081448747,117.365612562,,,
439,72.156916704,117.554980235,,,
440,72.2026974111,117.870593022,,,
441,72.2026974111,117.992892977,,,
442,72.300548386,118.119138092,,,
443,72.3495689528,117.870593022,,,
444,72.3986531599,117.68122535,,,
445,72.3986531599,117.744347907,,,
446,72.4970132616,117.992892977,,,
447,72.4970132616,117.744347907,,,
448,72.5462895416,117.554980235,,,
449,72.5462895416,117.618102792,,,
450,72.5462895416,117.618102792,,,
451,72.5956302328,117.68122535,,,
452,72.6450355299,117.744347907,,,
453,72.6450355299,117.807470465,,,
454,72.6914118453,118.056015535,,,
455,72.7409428739,117.807470465,,,
456,72.7905390855,117.870593022,,,
457,72.7905390855,117.618102792,,,
458,72.889927851,117.870593022,,,
459,72.9397208037,117.870593022,,,
460,72.989579737,117.992892977,,,
461,73.0395048525,117.744347907,,,
462,73.0395048525,117.93371558,,,
463,73.1395544406,117.618102792,,,
464,73.1395544406,117.870593022,,,
465,73.186544555,117.744347907,,,
466,73.186544555,117.744347907,,,
467,73.186544555,117.618102792,,,
468,73.2869871132,117.618102792,,,
469,73.2869871132,117.68122535,,,
470,73.2869871132,117.807470465,,,
471,73.3373093846,117.870593022,,,
472,73.3876992609,117.744347907,,,
473,73.4381569507,117.554980235,,,
474,73.4381569507,117.42873512,,,
475,73.4886826635,117.302490005,,,
476,73.4886826635,117.618102792,,,
477,73.5392766099,117.807470465,,,
478,73.5392766099,117.870593022,,,
479,73.5899390012,117.618102792,,,
480,73.5899390012,117.243312607,,,
481,73.6406700498,117.365612562,,,
482,73.6406700498,117.365612562,,,
483,73.6882929524,117.42873512,,,
484,73.6882929524,117.744347907,,,
485,73.7391576323,117.365612562,,,
486,73.7391576323,117.243312607,,,
487,73.7391576323,117.302490005,,,
488,73.7900915987,117.870593022,,,
489,73.7900915987,118.119138092,,,
490,73.8410950676,117.807470465,,,
491,73.8921682562,117.302490005,,,
492,73.8921682562,117.365612562,,,
493,73.9433113823,117.491857677,,,
494,73.9433113823,117.302490005,,,
495,73.9433113823,117.554980235,,,
496,73.9433113823,117.68122535,,,
497,73.9433113823,117.93371558,,,
498,73.9945246649,117.554980235,,,
